,State,PVI
1,Alabama,R+14
2,Alaska,R+9
3,Arizona,R+5
4,Arkansas,R+15
5,California,D+12
6,Colorado,D+1
7,Connecticut,D+6
8,Delaware,D+6
9,Florida,R+2
10,Georgia,R+5
11,Hawaii,D+18
12,Idaho,R+19
13,Illinois,D+7
14,Indiana,R+9
15,Iowa,R+3
16,Kansas,R+13
17,Kentucky,R+15
18,Louisiana,R+11
19,Maine,D+3
20,Maryland,D+12
21,Massachusetts,D+12
22,Michigan,D+1
23,Minnesota,D+1
24,Mississippi,R+9
25,Missouri,R+9
26,Montana,R+11
27,Nebraska,R+14
28,Nevada,D+1
29,New Hampshire,EVEN
30,New Jersey,D+7
31,New Mexico,D+3
32,New York,D+12
33,North Carolina,R+3
34,North Dakota,R+17
35,Ohio,R+3
36,Oklahoma,R+20
37,Oregon,D+5
38,Pennsylvania,EVEN
39,Rhode Island,D+10
40,South Carolina,R+8
41,South Dakota,R+14
42,Tennessee,R+14
43,Texas,R+8
44,Utah,R+20
45,Vermont,D+15
46,Virginia,D+1
47,Washington,D+7
48,West Virginia,R+19
49,Wisconsin,EVEN
50,Wyoming,R+25
